,declara,fin_declara,dato,opdec,numerico,cadena,",",id,[,num,],comienza,termina,funciones,fin_funciones,;,funcion,(,),fin_funcion,mientras,fin_mientras,si,entonces,otro_caso,fin_si,repite,hasta,lee,asig,escribe,escribe_ret,o,y,no,=,dif,mai,mei,>,<,+,-,*,/,div,mod,abs,cad,fin,PROGP,PROG,SDAT,LDATOS,DEC,TIPO,LV,VAR,PPAL,SFUN,LFUN,BLQ,FUN,PRM,INST,W,IF,REP,LEE,VARL,ASIG,VASIG,ESC,K,L,N,E,T,F,NFUN,ARGS
98, , , , , , , ,s129, ,s128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
99, , , , , , ,r75,s64, ,s65, , , , , , , ,s62,r75, , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g131,g57,g58,g59,g60,g61,g67,g130
100, , , , , , , , , , , , , , , , , , , , , , , ,s132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g133, , ,g12,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
102, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g134,g57,g58,g59,g60,g61,g67, 
103, , , , , , , , , , , , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104, , , , , , , ,s136, ,s135, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
105, , , , , , , , , , , , , , , ,r42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106, , , , , , , , , , , , , , , ,r43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109, , , ,r12, , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110, , , , ,s52,s53,r23, , , , , , , , , , , ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g138, , , , , , , ,g137, , , , , , , , , , , , , , , , , 
111, , , , , , ,r44, , , , , , , , ,r44, , ,r44, , , , , , , , , , , , , ,r44,r44, ,s84,s85,s86,s87,s88,s89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112, , , , , , ,r45, , , , , , , , ,r45, , ,r45, , , , , , , , , , , , , ,r45,r45, ,s84,s85,s86,s87,s88,s89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113, , , , , , , , , , , , , , , , , , ,s139, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114, , , , , , ,r48, , , , , , , , ,r48, , ,r48, , , , , , , , , , , , , ,r48,r48, ,r48,r48,r48,r48,r48,r48,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115, , , , , , ,r49, , , , , , , , ,r49, , ,r49, , , , , , , , , , , , , ,r49,r49, ,r49,r49,r49,r49,r49,r49,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116, , , , , , ,r50, , , , , , , , ,r50, , ,r50, , , , , , , , , , , , , ,r50,r50, ,r50,r50,r50,r50,r50,r50,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117, , , , , , ,r51, , , , , , , , ,r51, , ,r51, , , , , , , , , , , , , ,r51,r51, ,r51,r51,r51,r51,r51,r51,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
118, , , , , , ,r52, , , , , , , , ,r52, , ,r52, , , , , , , , , , , , , ,r52,r52, ,r52,r52,r52,r52,r52,r52,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119, , , , , , ,r53, , , , , , , , ,r53, , ,r53, , , , , , , , , , , , , ,r53,r53, ,r53,r53,r53,r53,r53,r53,s90,s91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120, , , , , , ,r56, , , , , , , , ,r56, , ,r56, , , , , , , , , , , , , ,r56,r56, ,r56,r56,r56,r56,r56,r56,r56,r56,s92,s93,s94,s95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
